date,stock_code
20250901,001222.SZ
20250901,002423.SZ
20250901,600651.SH
20250901,603360.SH
20250901,605100.SH
20250902,000796.SZ
20250902,600226.SH
20250902,600545.SH
20250902,600712.SH
20250902,601606.SH
20250902,603316.SH
20250903,001222.SZ
20250903,002716.SZ
20250903,600531.SH
20250903,600737.SH
20250903,601958.SH
20250903,603630.SH
20250903,605050.SH
20250903,605289.SH
20250904,000837.SZ
20250904,002031.SZ
20250904,600400.SH
20250904,601717.SH
20250904,603033.SH
20250904,603179.SH
20250904,605055.SH
20250905,002796.SZ
20250905,605050.SH
20250908,001206.SZ
20250908,002426.SZ
20250908,600778.SH
20250908,603863.SH
20250909,002046.SZ
20250909,002202.SZ
20250909,002487.SZ
20250909,002514.SZ
20250909,002534.SZ
20250909,002617.SZ
20250909,002674.SZ
20250909,002723.SZ
20250909,002796.SZ
20250909,002812.SZ
20250909,002858.SZ
20250909,002859.SZ
20250909,601218.SH
20250909,603052.SH
20250909,603102.SH
20250909,603127.SH
20250909,603659.SH
20250909,603683.SH
20250909,603920.SH
20250909,603988.SH
20250909,605068.SH
20250909,605286.SH
20250909,605378.SH
20250910,002326.SZ
20250910,600211.SH
20250910,603286.SH
20250910,603613.SH
20250910,603656.SH
20250910,603657.SH
20250910,603863.SH
20250911,000659.SZ
20250911,000962.SZ
20250911,002276.SZ
20250911,002487.SZ
20250911,002674.SZ
20250911,002859.SZ
20250911,600249.SH
20250911,601218.SH
20250911,603102.SH
20250911,603920.SH
20250912,000796.SZ
20250912,002313.SZ
20250912,002467.SZ
20250912,603286.SH
20250912,603316.SH
20250912,603656.SH
20250912,603790.SH
20250915,000988.SZ
20250915,002130.SZ
20250915,002276.SZ
20250915,002636.SZ
20250915,002815.SZ
20250915,600071.SH
20250915,603256.SH
20250915,603380.SH
20250915,603633.SH
20250915,603878.SH
20250915,605188.SH
20250916,000603.SZ
20250916,000737.SZ
20250916,002249.SZ
20250916,600545.SH
20250916,600651.SH
20250916,603316.SH
20250916,603790.SH
20250917,002066.SZ
20250917,002082.SZ
20250917,002130.SZ
20250917,002392.SZ
20250917,002703.SZ
20250917,600071.SH
20250917,603335.SH
20250917,603815.SH
20250917,605178.SH
20250918,002472.SZ
20250918,603009.SH
20250918,603286.SH
20250918,603579.SH
20250918,603683.SH
20250918,603920.SH
20250918,603950.SH
20250918,605133.SH
20250919,002196.SZ
20250919,002245.SZ
20250919,002549.SZ
20250919,003033.SZ
20250919,603013.SH
20250922,002272.SZ
20250922,002472.SZ
20250922,600487.SH
20250922,603286.SH
20250922,603683.SH
20250923,002303.SZ
20250923,002785.SZ
20250924,000603.SZ
20250924,002980.SZ
20250924,600857.SH
20250925,002060.SZ
20250925,002130.SZ
20250925,002515.SZ
20250925,002785.SZ
20250925,600798.SH
20250925,603035.SH
20250925,605060.SH
20250926,000603.SZ
20250926,002156.SZ
20250926,002294.SZ
20250926,002562.SZ
20250926,002812.SZ
20250926,002971.SZ
20250926,600103.SH
20250926,600126.SH
20250926,600637.SH
20250926,603087.SH
20250926,603800.SH
20250926,603823.SH
20250929,002130.SZ
20250929,603035.SH
20250929,605060.SH
20250930,000009.SZ
20250930,001209.SZ
20250930,001226.SZ
20250930,002971.SZ
20250930,600637.SH
20250930,600848.SH
20250930,601615.SH
20250930,603823.SH
20250801,002796.SZ
20250801,600276.SH
20250804,
20250805,605068.SH
20250806,002272.SZ
20250806,002651.SZ
20250806,002901.SZ
20250806,002977.SZ
20250806,600192.SH
20250806,600879.SH
20250806,603119.SH
20250806,603150.SH
20250806,603200.SH
20250806,603667.SH
20250806,603757.SH
20250806,603859.SH
20250807,000980.SZ
20250807,002017.SZ
20250807,002403.SZ
20250807,603176.SH
20250807,603179.SH
20250807,603380.SH
20250807,603611.SH
20250807,605189.SH
20250808,002331.SZ
20250808,002346.SZ
20250808,002558.SZ
20250808,600288.SH
20250808,600879.SH
20250808,601177.SH
20250808,603150.SH
20250808,605298.SH
20250811,000980.SZ
20250811,002072.SZ
20250811,002353.SZ
20250811,002354.SZ
20250811,603380.SH
20250811,603630.SH
20250811,603900.SH
20250812,002471.SZ
20250812,603773.SH
20250813,000628.SZ
20250813,002072.SZ
20250813,002353.SZ
20250813,002354.SZ
20250813,002364.SZ
20250813,600666.SH
20250813,603186.SH
20250814,002328.SZ
20250814,603090.SH
20250815,000066.SZ
20250815,000628.SZ
20250815,000962.SZ
20250815,002364.SZ
20250815,600301.SH
20250815,601020.SH
20250815,603186.SH
20250815,603273.SH
20250818,002342.SZ
20250818,003029.SZ
20250818,600775.SH
20250819,000066.SZ
20250819,000962.SZ
20250819,002636.SZ
20250819,600416.SH
20250819,600592.SH
20250819,600673.SH
20250820,000062.SZ
20250820,000628.SZ
20250820,000782.SZ
20250820,000796.SZ
20250820,000892.SZ
20250820,001339.SZ
20250820,002342.SZ
20250820,002981.SZ
20250820,003009.SZ
20250820,600111.SH
20250820,600654.SH
20250820,600881.SH
20250820,601798.SH
20250821,002397.SZ
20250821,002551.SZ
20250821,003033.SZ
20250821,600416.SH
20250821,600805.SH
20250821,600835.SH
20250821,600841.SH
20250821,603336.SH
20250821,603688.SH
20250821,605100.SH
20250822,000782.SZ
20250822,000796.SZ
20250822,001339.SZ
20250822,002476.SZ
20250822,002708.SZ
20250822,600104.SH
20250822,600480.SH
20250822,600651.SH
20250822,601579.SH
20250822,603950.SH
20250825,002207.SZ
20250825,002369.SZ
20250825,600805.SH
20250826,000710.SZ
20250826,000818.SZ
20250826,002080.SZ
20250826,002290.SZ
20250826,002685.SZ
20250826,600104.SH
20250826,600353.SH
20250826,603031.SH
20250826,603227.SH
20250827,001359.SZ
20250827,002918.SZ
20250827,600345.SH
20250827,603057.SH
20250827,603379.SH
20250827,603669.SH
20250828,000818.SZ
20250828,002290.SZ
20250828,002555.SZ
20250828,603950.SH
20250828,605100.SH
20250829,002918.SZ
20250829,600980.SH
20250829,603228.SH
20250829,603615.SH
20251009,002067.SZ
20251009,002534.SZ
20251009,002778.SZ
20251009,002785.SZ
20251009,603610.SH
20251009,605289.SH
20251009,605588.SH
20251010,001226.SZ
20251010,002629.SZ
20251010,600562.SH
20251010,600676.SH
20251010,603421.SH
20251013,000571.SZ
20251013,000655.SZ
20251013,000681.SZ
20251013,002255.SZ
20251013,002307.SZ
20251013,002366.SZ
20251013,600353.SH
20251013,600808.SH
20251013,603988.SH
20251014,002985.SZ
20251014,603192.SH
20251014,605169.SH
20251015,000777.SZ
20251015,002701.SZ
20251015,002735.SZ
20251015,002811.SZ
20251015,605598.SH
20251016,603192.SH
20251016,603848.SH
20251016,605169.SH
20251017,002436.SZ
20251017,002701.SZ
20251017,600513.SH
20251017,603222.SH
20251017,603861.SH
20251017,605111.SH
20251020,002793.SZ
20251021,000905.SZ
20251021,002108.SZ
20251021,002940.SZ
20251021,603313.SH
20251021,605303.SH
20251022,001330.SZ
20251022,002067.SZ
20251022,002249.SZ
20251022,002796.SZ
20251022,002861.SZ
20251022,002893.SZ
20251022,600173.SH
20251022,600192.SH
20251022,600635.SH
20251022,601015.SH
20251022,603159.SH
20251022,603316.SH
20251022,603685.SH
20251023,000665.SZ
20251023,000905.SZ
20251023,002523.SZ
20251023,600169.SH
20251023,600815.SH
